Gene::701	Pathway::PC7_6941
Gene::1875	Pathway::WP3527_r84571
Gene::959	Pathway::PC7_2255
Gene::7157	Pathway::WP2059_r82906
Gene::3443	Pathway::PC7_4688
Gene::2308	Pathway::WP3286_r84312
Gene::4853	Pathway::PC7_6561
Gene::9874	Pathway::WP1530_r84694
Gene::9184	Pathway::PC7_1131
Gene::2475	Pathway::PC7_12078
Gene::7481	Pathway::PC7_8771
Gene::2224	Pathway::PC7_2565
Gene::2253	Pathway::PC7_4583
Gene::4597	Pathway::PC7_1550
Gene::5288	Pathway::WP710_r79974
Gene::1794	Pathway::PC7_3869
Gene::55163	Pathway::PC7_8762
Gene::6915	Pathway::PC7_4043
Gene::7094	Pathway::WP2643_r74251
Gene::2885	Pathway::PC7_7461
Gene::1604	Pathway::PC7_7457
Gene::27087	Pathway::PC7_2569
Gene::5599	Pathway::PC7_6849
Gene::59352	Pathway::PC7_7484
Gene::1234	Pathway::PC7_4043
Gene::6335	Pathway::PC7_4917
Gene::4086	Pathway::WP560_r83868
Gene::3716	Pathway::PC7_3435
Gene::10402	Pathway::PC7_5330
Gene::5566	Pathway::PC7_7444
Gene::728358	Pathway::PC7_1596
Gene::112	Pathway::PC7_2924
Gene::6193	Pathway::PC7_4729
Gene::442038	Pathway::WP692_r69031
Gene::164	Pathway::PC7_4365
Gene::9524	Pathway::PC7_5322
Gene::5698	Pathway::PC7_1214
Gene::1387	Pathway::PC7_5983
Gene::5145	Pathway::PC7_4693
Gene::10411	Pathway::PC7_7439
Gene::3303	Pathway::PC7_4417
Gene::8358	Pathway::PC7_5534
Gene::2495	Pathway::PC7_8339
Gene::53615	Pathway::PC7_6797
Gene::4343	Pathway::PC7_3884
Gene::10113	Pathway::PC7_5330
Gene::2791	Pathway::PC7_3991
Gene::1211	Pathway::PC7_1563
Gene::374907	Pathway::PC7_6001
Gene::5708	Pathway::PC7_5324
Gene::10637	Pathway::PC7_7464
Gene::3570	Pathway::PC7_8058
Gene::8726	Pathway::PC7_3682
Gene::5578	Pathway::PC7_2521
Gene::58500	Pathway::PC7_4112
Gene::2864	Pathway::PC7_3877
Gene::6714	Pathway::PC7_983
Gene::8491	Pathway::PC7_7851
Gene::108	Pathway::PC7_3995
Gene::5716	Pathway::PC7_5528
Gene::25978	Pathway::PC7_4948
Gene::356	Pathway::PC7_2440
Gene::472	Pathway::PC7_8625
Gene::4644	Pathway::PC7_4688
Gene::9459	Pathway::PC7_2528
Gene::1063	Pathway::PC7_7427
Gene::64326	Pathway::PC7_1859
Gene::29988	Pathway::PC7_8339
Gene::54512	Pathway::PC7_6911
Gene::6124	Pathway::PC7_2469
Gene::1452	Pathway::PC7_3278
Gene::2065	Pathway::PC7_4012
Gene::10919	Pathway::WP2369_r83012
Gene::8350	Pathway::PC7_4449
Gene::8554	Pathway::WP2332_r79525
Gene::5028	Pathway::PC7_4044
Gene::7529	Pathway::PC7_4779
Gene::2033	Pathway::PC7_7465
Gene::5296	Pathway::PC7_4053
Gene::7529	Pathway::PC7_1524
Gene::7157	Pathway::PC7_2949
Gene::9162	Pathway::PC7_7457
Gene::1869	Pathway::PC7_6918
Gene::51248	Pathway::PC7_4791
Gene::7311	Pathway::PC7_7444
Gene::5984	Pathway::PC7_7024
Gene::4170	Pathway::PC7_4340
Gene::5682	Pathway::PC7_6897
Gene::8074	Pathway::PC7_1563
Gene::1175	Pathway::PC7_7439
Gene::84448	Pathway::PC7_3084
Gene::11343	Pathway::PC7_4449
Gene::7316	Pathway::PC7_7444
Gene::130399	Pathway::PC7_7464
Gene::3117	Pathway::PC7_4688
Gene::79682	Pathway::PC7_5530
Gene::3283	Pathway::WP496_r69016
Gene::29968	Pathway::PC7_1631
Gene::784	Pathway::WP2118_r71265
Gene::10110	Pathway::PC7_4791
Gene::7157	Pathway::PC7_12271
Gene::2799	Pathway::PC7_2630
Gene::133308	Pathway::PC7_4791
Gene::83999	Pathway::PC7_7439
Gene::3651	Pathway::PC7_6905
Gene::7124	Pathway::WP706_r80056
Gene::1340	Pathway::PC7_6943
Gene::338596	Pathway::PC7_2100
Gene::10111	Pathway::WP1984_r82941
Gene::57121	Pathway::PC7_4107
Gene::675	Pathway::PC7_1213
Gene::2977	Pathway::PC7_5948
Gene::5718	Pathway::PC7_3278
Gene::2103	Pathway::PC7_4116
Gene::7321	Pathway::PC7_2529
Gene::3013	Pathway::PC7_6790
Gene::3134	Pathway::PC7_1669
Gene::284541	Pathway::PC7_1693
Gene::361	Pathway::PC7_6373
Gene::221496	Pathway::PC7_4740
Gene::8454	Pathway::PC7_4438
Gene::5473	Pathway::PC7_6512
Gene::8550	Pathway::PC7_2529
Gene::1104	Pathway::PC7_4492
Gene::2572	Pathway::PC7_4019
Gene::5714	Pathway::PC7_2706
Gene::7480	Pathway::PC7_2621
Gene::5682	Pathway::PC7_7427
Gene::25936	Pathway::PC7_2519
Gene::5706	Pathway::PC7_5531
Gene::5566	Pathway::PC7_6909
Gene::2774	Pathway::WP35_r79952
Gene::5196	Pathway::PC7_3992
Gene::23279	Pathway::PC7_4112
Gene::5145	Pathway::PC7_3278
Gene::26664	Pathway::PC7_7439
Gene::5295	Pathway::PC7_4053
Gene::4914	Pathway::PC7_6950
Gene::151	Pathway::PC7_3992
Gene::474382	Pathway::PC7_2949
Gene::4175	Pathway::PC7_2956
Gene::1026	Pathway::WP1403_r79471
Gene::6120	Pathway::PC7_3278
Gene::11200	Pathway::WP179_r70629
Gene::1716	Pathway::PC7_6654
Gene::9541	Pathway::WP61_r78592
Gene::253559	Pathway::PC7_2526
Gene::5436	Pathway::PC7_3968
Gene::5599	Pathway::PC7_4370
Gene::3660	Pathway::PC7_4741
Gene::6173	Pathway::PC7_5324
Gene::2782	Pathway::PC7_4044
Gene::1032	Pathway::PC7_2529
Gene::63916	Pathway::PC7_8664
Gene::4303	Pathway::PC7_7478
Gene::10381	Pathway::WP410_r84683
Gene::5689	Pathway::PC7_1684
Gene::54778	Pathway::PC7_3278
Gene::341799	Pathway::PC7_6044
Gene::26999	Pathway::PC7_7439
Gene::7029	Pathway::WP2446_r84651
Gene::55851	Pathway::PC7_6569
Gene::3952	Pathway::PC7_7462
Gene::170959	Pathway::PC7_4112
Gene::6866	Pathway::PC7_8093
Gene::1509	Pathway::PC7_3065
Gene::10213	Pathway::PC7_1877
Gene::5604	Pathway::PC7_3325
Gene::5499	Pathway::PC7_2927
Gene::1017	Pathway::PC7_4007
Gene::10213	Pathway::PC7_1118
Gene::5818	Pathway::PC7_2524
Gene::4927	Pathway::PC7_4766
Gene::22897	Pathway::PC7_2534
Gene::37	Pathway::PC7_5322
Gene::2549	Pathway::PC7_4637
Gene::8650	Pathway::PC7_7458
Gene::6125	Pathway::PC7_5973
Gene::8945	Pathway::PC7_7231
Gene::11232	Pathway::PC7_8323
Gene::3090	Pathway::PC7_3277
Gene::2898	Pathway::PC7_1541
Gene::6609	Pathway::PC7_5326
Gene::6143	Pathway::PC7_685
Gene::4193	Pathway::PC7_2520
Gene::8340	Pathway::PC7_5271
Gene::5699	Pathway::PC7_3060
Gene::1675	Pathway::WP236_r80209
Gene::1892	Pathway::WP143_r79783
Gene::28514	Pathway::WP61_r78592
Gene::919	Pathway::PC7_6128
Gene::640	Pathway::PC7_6916
Gene::10273	Pathway::PC7_1563
Gene::64900	Pathway::PC7_6462
Gene::84924	Pathway::PC7_4112
Gene::6401	Pathway::PC7_1178
Gene::83737	Pathway::PC7_5779
Gene::7314	Pathway::PC7_8295
Gene::6233	Pathway::PC7_11357
Gene::8833	Pathway::PC7_5994
Gene::8970	Pathway::PC7_2521
Gene::54331	Pathway::PC7_7489
Gene::5261	Pathway::PC7_4207
Gene::6720	Pathway::WP2874_r82709
Gene::735	Pathway::PC7_2672
Gene::9967	Pathway::WP2916_r79908
Gene::1800	Pathway::PC7_1581
Gene::23370	Pathway::PC7_3278
Gene::5526	Pathway::PC7_7484
Gene::4784	Pathway::PC7_4112
Gene::55437	Pathway::PC7_4938
Gene::5605	Pathway::PC7_3436
Gene::122618	Pathway::PC7_7745
Gene::23415	Pathway::PC7_8763
Gene::7027	Pathway::PC7_2832
Gene::7409	Pathway::PC7_3991
Gene::119391	Pathway::PC7_8725
Gene::5684	Pathway::PC7_6911
Gene::3757	Pathway::WP2849_r84764
Gene::3329	Pathway::PC7_8677
Gene::3667	Pathway::PC7_3884
Gene::1385	Pathway::PC7_7443
Gene::5430	Pathway::PC7_1224
Gene::10125	Pathway::PC7_6512
Gene::7529	Pathway::PC7_7460
Gene::1606	Pathway::PC7_2440
Gene::3265	Pathway::PC7_1863
Gene::51454	Pathway::PC7_1697
Gene::3717	Pathway::PC7_8058
Gene::940	Pathway::PC7_5772
Gene::5580	Pathway::PC7_8266
Gene::6300	Pathway::WP422_r72129
Gene::3293	Pathway::PC7_3878
Gene::817	Pathway::PC7_2530
Gene::57404	Pathway::WP702_r73516
Gene::2252	Pathway::PC7_5876
Gene::8970	Pathway::PC7_6315
Gene::7161	Pathway::WP710_r79974
Gene::4802	Pathway::PC7_5326
Gene::63827	Pathway::PC7_2500
Gene::1131	Pathway::PC7_4754
Gene::5563	Pathway::PC7_5322
Gene::5578	Pathway::PC7_7788
Gene::554313	Pathway::PC7_5049
Gene::6469	Pathway::PC7_7457
Gene::54822	Pathway::PC7_8066
Gene::9801	Pathway::PC7_6057
Gene::6382	Pathway::PC7_4451
Gene::2534	Pathway::PC7_6512
Gene::4627	Pathway::PC7_7422
Gene::4173	Pathway::PC7_4005
Gene::9184	Pathway::PC7_5531
Gene::23636	Pathway::PC7_5967
Gene::11198	Pathway::PC7_3960
Gene::11064	Pathway::PC7_7449
Gene::9861	Pathway::PC7_8709
Gene::23533	Pathway::PC7_4043
Gene::6170	Pathway::PC7_2469
Gene::5594	Pathway::PC7_7445
Gene::891	Pathway::PC7_5049
Gene::4314	Pathway::PC7_3777
Gene::51764	Pathway::PC7_8340
Gene::821	Pathway::PC7_5157
Gene::60	Pathway::WP2118_r71265
Gene::1135	Pathway::PC7_5887
Gene::4552	Pathway::WP176_r82704
Gene::23198	Pathway::PC7_6911
Gene::6774	Pathway::PC7_2373
Gene::5970	Pathway::PC7_7461
Gene::5105	Pathway::WP534_r78585
Gene::10559	Pathway::PC7_5330
Gene::1001	Pathway::WP3287_r84570
Gene::9181	Pathway::PC7_3991
Gene::60489	Pathway::WP3300_r81234
Gene::8357	Pathway::PC7_8326
Gene::3630	Pathway::PC7_6909
Gene::572	Pathway::PC7_7447
Gene::3190	Pathway::PC7_6589
Gene::1317	Pathway::PC7_7290
Gene::54700	Pathway::PC7_6791
Gene::3017	Pathway::PC7_5534
Gene::246330	Pathway::PC7_1517
Gene::255626	Pathway::PC7_5530
Gene::6868	Pathway::PC7_6860
Gene::427	Pathway::PC7_2535
Gene::54498	Pathway::PC7_4770
Gene::7043	Pathway::PC7_5537
Gene::4192	Pathway::PC7_5788
Gene::7090	Pathway::PC7_11357
Gene::5465	Pathway::PC7_8323
Gene::7189	Pathway::PC7_8295
Gene::1674	Pathway::PC7_5551
Gene::1051	Pathway::WP1589_r82223
Gene::5894	Pathway::PC7_7475
Gene::81620	Pathway::PC7_6881
Gene::2959	Pathway::PC7_4948
Gene::112398	Pathway::PC7_4540
Gene::5687	Pathway::PC7_7661
Gene::3445	Pathway::PC7_6885
Gene::2331	Pathway::PC7_3777
Gene::79861	Pathway::WP2359_r72121
Gene::348995	Pathway::PC7_8765
Gene::11340	Pathway::PC7_1181
Gene::23279	Pathway::PC7_4727
Gene::5713	Pathway::PC7_1821
Gene::7167	Pathway::PC7_5322
Gene::867	Pathway::WP395_r79978
Gene::2769	Pathway::PC7_7652
Gene::904	Pathway::PC7_3959
Gene::94235	Pathway::PC7_983
Gene::6829	Pathway::PC7_3960
Gene::219417	Pathway::PC7_4043
Gene::284656	Pathway::PC7_3415
Gene::5696	Pathway::PC7_1629
Gene::8813	Pathway::PC7_6539
Gene::493	Pathway::PC7_4792
Gene::2965	Pathway::PC7_5966
Gene::3017	Pathway::PC7_4334
Gene::5575	Pathway::PC7_3386
Gene::2232	Pathway::PC7_8680
Gene::4868	Pathway::PC7_2526
Gene::51082	Pathway::PC7_5875
Gene::10018	Pathway::PC7_12280
Gene::3053	Pathway::PC7_3958
Gene::5594	Pathway::PC7_3084
Gene::677	Pathway::PC7_8678
Gene::3091	Pathway::PC7_2532
Gene::1437	Pathway::PC7_6918
Gene::57863	Pathway::PC7_5868
Gene::206358	Pathway::PC7_8354
Gene::5290	Pathway::PC7_8664
Gene::29893	Pathway::PC7_5272
Gene::58477	Pathway::PC7_4657
Gene::6331	Pathway::PC7_3084
Gene::5580	Pathway::PC7_3993
Gene::57379	Pathway::PC7_4627
Gene::5627	Pathway::PC7_8351
Gene::6152	Pathway::WP477_r67139
Gene::2770	Pathway::PC7_5890
Gene::23620	Pathway::WP455_r81793
Gene::8365	Pathway::PC7_2570
Gene::6224	Pathway::PC7_4729
Gene::2199	Pathway::PC7_3777
Gene::1520	Pathway::PC7_4688
Gene::3784	Pathway::WP706_r80056
Gene::23480	Pathway::PC7_4688
Gene::5695	Pathway::PC7_1821
Gene::5729	Pathway::WP247_r74422
Gene::26659	Pathway::PC7_7457
Gene::598	Pathway::PC7_3698
Gene::3725	Pathway::PC7_2529
Gene::4171	Pathway::WP466_r79981
Gene::7311	Pathway::PC7_6072
Gene::1236	Pathway::PC7_4043
Gene::1211	Pathway::PC7_6868
Gene::5054	Pathway::PC7_3362
Gene::11145	Pathway::PC7_5326
Gene::5594	Pathway::PC7_7503
Gene::8604	Pathway::PC7_2500
Gene::701	Pathway::PC7_4691
Gene::5568	Pathway::PC7_1539
Gene::8353	Pathway::WP2369_r83012
Gene::4594	Pathway::PC7_3017
Gene::2635	Pathway::PC7_4771
Gene::8290	Pathway::PC7_11610
Gene::84545	Pathway::PC7_5523
Gene::9334	Pathway::PC7_5665
Gene::7018	Pathway::PC7_4806
Gene::5567	Pathway::PC7_5326
Gene::2181	Pathway::PC7_5326
Gene::128312	Pathway::PC7_3073
Gene::255488	Pathway::PC7_4688
Gene::3117	Pathway::PC7_7786
Gene::54894	Pathway::PC7_7439
Gene::2353	Pathway::WP712_r78491
Gene::23533	Pathway::WP75_r83867
Gene::10507	Pathway::PC7_1863
Gene::10592	Pathway::PC7_5049
Gene::6123	Pathway::PC7_8712
Gene::3646	Pathway::PC7_4085
Gene::5770	Pathway::PC7_6141
Gene::4507	Pathway::PC7_5360
Gene::7067	Pathway::PC7_4116
Gene::118672	Pathway::WP28_r71888
Gene::51529	Pathway::PC7_5535
Gene::5702	Pathway::PC7_6911
Gene::5594	Pathway::PC7_7263
Gene::6795	Pathway::PC7_7441
Gene::3417	Pathway::PC7_3278
Gene::23636	Pathway::PC7_5324
Gene::2131	Pathway::PC7_5322
Gene::5660	Pathway::PC7_4044
Gene::2838	Pathway::WP455_r81793
Gene::5781	Pathway::PC7_3864
Gene::4502	Pathway::PC7_2907
Gene::329	Pathway::PC7_8295
Gene::2779	Pathway::PC7_4001
Gene::6511	Pathway::PC7_5887
Gene::10397	Pathway::PC7_3277
Gene::7175	Pathway::PC7_4365
Gene::7314	Pathway::PC7_2951
Gene::4998	Pathway::PC7_3363
Gene::7249	Pathway::PC7_7478
Gene::90	Pathway::PC7_1103
Gene::284111	Pathway::PC7_2091
Gene::5295	Pathway::PC7_7499
Gene::8517	Pathway::PC7_5708
Gene::5711	Pathway::PC7_2830
Gene::22900	Pathway::WP1433_r83527
Gene::6167	Pathway::PC7_3963
Gene::56915	Pathway::PC7_5324
Gene::5683	Pathway::PC7_1629
Gene::4772	Pathway::PC7_3884
Gene::6375	Pathway::PC7_2543
Gene::1236	Pathway::PC7_4044
Gene::81031	Pathway::PC7_7290
Gene::23236	Pathway::PC7_7457
Gene::5713	Pathway::PC7_2623
Gene::8350	Pathway::PC7_8317
Gene::9896	Pathway::PC7_6147
Gene::331	Pathway::PC7_7795
Gene::2030	Pathway::PC7_7290
Gene::4983	Pathway::PC7_6894
Gene::10025	Pathway::PC7_3084
Gene::10972	Pathway::WP411_r79980
Gene::9058	Pathway::PC7_7290
Gene::1432	Pathway::PC7_1178
Gene::9956	Pathway::WP702_r73516
Gene::1022	Pathway::PC7_6792
Gene::26999	Pathway::PC7_3360
Gene::2137	Pathway::PC7_8631
Gene::10383	Pathway::PC7_5529
Gene::8331	Pathway::PC7_8317
Gene::8352	Pathway::PC7_7784
Gene::814	Pathway::PC7_5772
Gene::4205	Pathway::WP2380_r79953
Gene::26108	Pathway::PC7_7484
Gene::5948	Pathway::PC7_3280
Gene::29935	Pathway::PC7_2519
Gene::10217	Pathway::PC7_2012
Gene::207	Pathway::PC7_7482
Gene::8347	Pathway::PC7_5049
Gene::4800	Pathway::PC7_8678
Gene::81623	Pathway::PC7_4741
Gene::5721	Pathway::PC7_7427
Gene::10325	Pathway::PC7_12078
Gene::2261	Pathway::PC7_3818
Gene::655	Pathway::WP2895_r79216
Gene::2778	Pathway::PC7_8339
Gene::26986	Pathway::PC7_2469
Gene::6288	Pathway::PC7_5558
Gene::7450	Pathway::PC7_6510
Gene::80270	Pathway::PC7_7757
Gene::2911	Pathway::WP117_r82985
Gene::136	Pathway::WP455_r81793
Gene::32	Pathway::PC7_2103
Gene::2534	Pathway::PC7_7461
Gene::6890	Pathway::PC7_1563
Gene::10526	Pathway::PC7_4112
Gene::5566	Pathway::PC7_2332
Gene::1238	Pathway::PC7_2620
Gene::8527	Pathway::PC7_7439
Gene::56259	Pathway::PC7_4112
Gene::4519	Pathway::PC7_8229
Gene::5788	Pathway::PC7_1563
Gene::5705	Pathway::PC7_2521
Gene::4763	Pathway::PC7_7719
Gene::1452	Pathway::PC7_7484
Gene::11006	Pathway::PC7_1563
Gene::11315	Pathway::WP138_r79958
Gene::5733	Pathway::PC7_3992
Gene::3766	Pathway::PC7_6555
Gene::6772	Pathway::PC7_7461
Gene::64223	Pathway::PC7_3328
Gene::7311	Pathway::PC7_5025
Gene::1385	Pathway::PC7_5789
Gene::4316	Pathway::PC7_7718
Gene::319	Pathway::PC7_6065
Gene::10135	Pathway::PC7_3017
Gene::2023	Pathway::PC7_4207
Gene::7311	Pathway::PC7_8712
Gene::11173	Pathway::PC7_6540
Gene::107	Pathway::PC7_8339
Gene::8480	Pathway::PC7_8343
Gene::6654	Pathway::PC7_3328
Gene::5618	Pathway::PC7_5991
Gene::5861	Pathway::PC7_5530
Gene::995	Pathway::PC7_2829
Gene::9632	Pathway::PC7_5322
Gene::10062	Pathway::PC7_5989
Gene::113612	Pathway::WP702_r73516
Gene::9110	Pathway::PC7_3323
Gene::6613	Pathway::PC7_7386
Gene::5693	Pathway::PC7_3278
Gene::5704	Pathway::PC7_8766
Gene::23511	Pathway::PC7_4728
Gene::2694	Pathway::WP2596_r72724
Gene::5611	Pathway::PC7_4728
Gene::55970	Pathway::PC7_6543
Gene::8837	Pathway::PC7_1684
Gene::808	Pathway::PC7_3328
Gene::3690	Pathway::PC7_6514
Gene::6235	Pathway::PC7_2469
Gene::27131	Pathway::PC7_4300
Gene::57171	Pathway::PC7_7764
Gene::23291	Pathway::PC7_4440
Gene::2837	Pathway::PC7_4107
Gene::5931	Pathway::WP2446_r84651
Gene::160	Pathway::PC7_3385
Gene::6352	Pathway::PC7_7721
Gene::403244	Pathway::PC7_6044
Gene::4524	Pathway::WP241_r83818
Gene::930	Pathway::PC7_7475
Gene::146850	Pathway::PC7_7751
Gene::9706	Pathway::PC7_12078
Gene::5688	Pathway::PC7_4112
Gene::3572	Pathway::PC7_7439
Gene::208	Pathway::PC7_2679
Gene::2185	Pathway::PC7_4940
Gene::3265	Pathway::PC7_3384
Gene::8792	Pathway::WP12_r81176
Gene::6137	Pathway::PC7_6393
Gene::2059	Pathway::PC7_3698
Gene::3569	Pathway::WP69_r79955
Gene::162966	Pathway::PC7_4112
Gene::3337	Pathway::PC7_4417
Gene::9677	Pathway::PC7_7763
Gene::3725	Pathway::PC7_6140
Gene::5682	Pathway::PC7_5049
Gene::2309	Pathway::PC7_8678
Gene::79590	Pathway::PC7_5524
Gene::1727	Pathway::PC7_5322
Gene::341	Pathway::WP430_r82344
Gene::3037	Pathway::PC7_3018
Gene::286	Pathway::PC7_2301
Gene::2566	Pathway::PC7_5890
Gene::4217	Pathway::WP2377_r80437
Gene::9184	Pathway::PC7_1521
Gene::5166	Pathway::WP2881_r79603
Gene::695	Pathway::PC7_1670
Gene::6124	Pathway::PC7_8331
Gene::1908	Pathway::PC7_7457
Gene::30011	Pathway::PC7_3385
Gene::6428	Pathway::PC7_6534
Gene::390144	Pathway::PC7_4043
Gene::7343	Pathway::WP2858_r83015
Gene::63916	Pathway::PC7_7439
Gene::842	Pathway::PC7_3278
Gene::80896	Pathway::PC7_7434
Gene::50649	Pathway::PC7_7463
Gene::8361	Pathway::PC7_7439
Gene::87	Pathway::PC7_5881
Gene::23169	Pathway::PC7_8356
Gene::10861	Pathway::PC7_2098
Gene::7507	Pathway::PC7_4156
Gene::1592	Pathway::WP236_r80209
Gene::5347	Pathway::PC7_6467
Gene::5577	Pathway::PC7_6173
Gene::2100	Pathway::PC7_6507
Gene::10692	Pathway::PC7_2620
Gene::775	Pathway::WP536_r80211
Gene::867	Pathway::WP2018_r79959
Gene::10810	Pathway::PC7_7482
Gene::7791	Pathway::PC7_7660
Gene::9978	Pathway::PC7_4688
Gene::392376	Pathway::PC7_6044
Gene::5998	Pathway::PC7_3678
Gene::7316	Pathway::PC7_8625
Gene::57534	Pathway::PC7_3278
Gene::3630	Pathway::WP1533_r82707
Gene::3012	Pathway::PC7_2575
Gene::5715	Pathway::PC7_5527
Gene::10203	Pathway::WP2197_r74852
Gene::59307	Pathway::PC7_8295
Gene::9794	Pathway::PC7_5776
Gene::3814	Pathway::PC7_4044
Gene::255189	Pathway::PC7_1560
Gene::29904	Pathway::PC7_7049
Gene::6146	Pathway::PC7_4728
Gene::10393	Pathway::PC7_2684
Gene::92737	Pathway::PC7_1516
Gene::2784	Pathway::PC7_6050
Gene::2770	Pathway::PC7_6050
Gene::23035	Pathway::PC7_4012
Gene::5054	Pathway::WP558_r79680
Gene::8360	Pathway::PC7_2570
Gene::5695	Pathway::PC7_3326
Gene::2113	Pathway::PC7_4341
Gene::1293	Pathway::PC7_2076
Gene::2004	Pathway::WP53_r67360
Gene::2099	Pathway::PC7_8675
Gene::10213	Pathway::PC7_1629
Gene::5721	Pathway::PC7_7661
Gene::4318	Pathway::WP1539_r79949
Gene::5529	Pathway::PC7_5527
Gene::3654	Pathway::PC7_8058
Gene::58191	Pathway::PC7_6396
Gene::9334	Pathway::PC7_3018
Gene::85365	Pathway::PC7_5330
Gene::8611	Pathway::PC7_12279
Gene::4851	Pathway::WP61_r78592
Gene::515	Pathway::PC7_8229
Gene::6373	Pathway::PC7_2620
Gene::340061	Pathway::PC7_2910
Gene::1012	Pathway::PC7_2524
Gene::125919	Pathway::PC7_4112
Gene::1612	Pathway::WP2828_r79529
Gene::6885	Pathway::PC7_7461
Gene::4190	Pathway::PC7_4207
Gene::5684	Pathway::PC7_4037
Gene::2002	Pathway::PC7_5559
Gene::891	Pathway::PC7_5529
Gene::220134	Pathway::PC7_6941
Gene::8823	Pathway::PC7_7443
Gene::54998	Pathway::PC7_5522
Gene::6385	Pathway::PC7_5322
Gene::7226	Pathway::PC7_7681
Gene::60482	Pathway::PC7_5891
Gene::7297	Pathway::PC7_7475
Gene::3320	Pathway::WP2586_r79995
Gene::134864	Pathway::PC7_7457
Gene::54998	Pathway::PC7_1855
Gene::10213	Pathway::PC7_3326
Gene::7074	Pathway::PC7_6542
Gene::163	Pathway::PC7_3385
Gene::10499	Pathway::PC7_6818
Gene::930	Pathway::PC7_4688
Gene::7738	Pathway::PC7_4116
Gene::4773	Pathway::PC7_7483
Gene::23112	Pathway::PC7_7447
Gene::4927	Pathway::PC7_4771
Gene::113457	Pathway::PC7_5330
Gene::3146	Pathway::PC7_10557
Gene::5437	Pathway::PC7_6795
Gene::5294	Pathway::PC7_6141
Gene::8841	Pathway::WP3414_r82252
Gene::7494	Pathway::PC7_5330
Gene::3551	Pathway::WP231_r81070
Gene::7559	Pathway::PC7_4112
Gene::57113	Pathway::PC7_6512
Gene::1026	Pathway::PC7_2521
Gene::6596	Pathway::WP2446_r84651
Gene::5879	Pathway::PC7_1601
Gene::8503	Pathway::PC7_6994
Gene::3483	Pathway::PC7_5330
Gene::93649	Pathway::PC7_6141
Gene::5296	Pathway::PC7_2526
Gene::6464	Pathway::PC7_7494
Gene::10382	Pathway::PC7_5330
Gene::26476	Pathway::PC7_6044
Gene::9088	Pathway::PC7_6519
Gene::10142	Pathway::PC7_6533
Gene::5682	Pathway::PC7_5322
Gene::6169	Pathway::WP477_r67139
Gene::5710	Pathway::PC7_4492
Gene::8569	Pathway::WP400_r72084
Gene::1836	Pathway::PC7_8354
Gene::7311	Pathway::PC7_7483
Gene::3066	Pathway::WP61_r78592
Gene::1524	Pathway::PC7_7457
Gene::2081	Pathway::PC7_4657
Gene::4967	Pathway::PC7_5045
Gene::890	Pathway::PC7_2951
Gene::463	Pathway::WP3594_r84573
Gene::4502	Pathway::PC7_4773
Gene::22872	Pathway::PC7_8786
Gene::23636	Pathway::PC7_8347
Gene::5542	Pathway::WP2431_r84650
Gene::5290	Pathway::PC7_3359
Gene::6934	Pathway::WP710_r79974
Gene::2870	Pathway::WP2355_r79973
Gene::10714	Pathway::PC7_8321
Gene::83464	Pathway::PC7_5981
Gene::3845	Pathway::PC7_7268
Gene::4208	Pathway::PC7_5559
Gene::3910	Pathway::PC7_10400
Gene::3492	Pathway::PC7_2672
Gene::7335	Pathway::PC7_4778
Gene::2783	Pathway::PC7_11018
Gene::1645	Pathway::PC7_5322
Gene::8817	Pathway::PC7_3325
Gene::2920	Pathway::WP2431_r84650
Gene::114805	Pathway::PC7_6540
Gene::2968	Pathway::PC7_6795
Gene::6657	Pathway::WP706_r80056
Gene::23480	Pathway::PC7_7357
Gene::3172	Pathway::PC7_6913
Gene::1832	Pathway::PC7_1684
Gene::55585	Pathway::PC7_1563
Gene::23643	Pathway::PC7_8064
Gene::4240	Pathway::PC7_1655
Gene::7514	Pathway::PC7_3980
Gene::10001	Pathway::PC7_4112
Gene::5707	Pathway::PC7_6930
Gene::7702	Pathway::PC7_6813
Gene::6749	Pathway::PC7_3278
Gene::6774	Pathway::PC7_4593
Gene::1432	Pathway::WP422_r72129
Gene::120227	Pathway::PC7_8761
Gene::8651	Pathway::PC7_4613
Gene::3068	Pathway::PC7_4657
Gene::2002	Pathway::WP127_r78498
Gene::1950	Pathway::PC7_6514
Gene::57876	Pathway::PC7_5330
Gene::4148	Pathway::PC7_3777
Gene::5409	Pathway::PC7_2516
Gene::220164	Pathway::PC7_7499
Gene::378884	Pathway::PC7_4267
Gene::213	Pathway::PC7_4992
Gene::1269	Pathway::PC7_4043
Gene::23129	Pathway::PC7_6517
Gene::51701	Pathway::WP2858_r83015
Gene::23399	Pathway::PC7_2521
Gene::50649	Pathway::PC7_6957
Gene::1843	Pathway::PC7_3885
Gene::6139	Pathway::PC7_7357
Gene::5903	Pathway::PC7_7488
Gene::947	Pathway::PC7_1563
Gene::4214	Pathway::PC7_6786
Gene::1056	Pathway::PC7_5326
Gene::8091	Pathway::PC7_3962
Gene::5208	Pathway::PC7_3278
Gene::6197	Pathway::PC7_5561
Gene::8605	Pathway::PC7_6462
Gene::6233	Pathway::PC7_2265
Gene::8331	Pathway::PC7_6923
Gene::3673	Pathway::WP2332_r79525
Gene::6547	Pathway::WP536_r80211
Gene::349565	Pathway::PC7_5909
Gene::127385	Pathway::PC7_4043
Gene::3972	Pathway::PC7_7457
Gene::54820	Pathway::PC7_5049
